site,treat,plot,density,ba,regen_density,sol,sub,thaw,mineral,pf,growth
AL,burn/sub,1,0.878980892,8.0326512,0.71656051,6.6,56,82,75.4,43,6.8
AL,burn/sub,2,0.50955414,5.3056512,0.238853503,4.4,36,111,106.6,14,6.8
AL,burn/sub,3,0.356687898,6.15882042,0.079617834,5,111,85,80,40,9.4
AL,burn/sub,4,0.318471338,5.28585318,0.079617834,4.4,72.66666667,89,84.6,36,11.8
HE,burn/sub,5,0.203821656,2.03177862,0.477707006,5,109.3333333,107,102,18,15.2
HE,burn/sub,6,0.662420382,5.6247102,1.512738854,5,66,86,81,39,11.8
HE,burn/sub,7,0.547770701,6.06064842,0.238853503,5.2,55,84,78.8,41,7
HE,burn/sub,8,0.585987261,4.9042368,0.318471338,5,63.33333333,70,65,55,9.2
IN,burn/sub,13,0.140127389,4.4545545,0.318471338,6.6,33.66666667,84,77.4,41,4.8
IN,burn/sub,14,0.076433121,3.19735296,0.079617834,6.4,30.66666667,75,68.6,50,5
IN,burn/sub,15,0.140127389,5.52086604,0.079617834,5.4,13.33333333,82,76.6,43,4.6
IN,burn/sub,16,0.076433121,4.13511372,0.159235669,4.2,34,109,104.8,16,3.6
MK,burn/sub,17,0.975318471,2.364309,0.238853503,9.2,29.33333333,78,68.8,47,8.8
MK,burn/sub,18,0.676751592,1.95869502,0.159235669,6,20,47,41,78,6
MK,burn/sub,19,1.804670913,1.44531,0.079617834,7,39,61,54,64,13.8
MK,burn/sub,20,1.671974522,16.12022418,0.159235669,5.8,25,76,70.2,49,9.4
SE,burn/sub,9,1.691878981,3.99238254,0.238853503,4.6,57.66666667,105,100.4,20,12.2
SE,burn/sub,10,0.560509554,2.36790864,0.079617834,2.6,40.66666667,98,95.4,27,7
SE,burn/sub,11,0.343949045,2.5753788,0.079617834,2.8,61.33333333,99,96.2,26,14.6
SE,burn/sub,12,0.687898089,4.26213738,0.079617834,1.6,45.66666667,90,88.4,35,7
AL,burn,1,0.343949045,6.6596067,0.477707006,3.8,0,72,68.2,53,6
AL,burn,2,0.72611465,6.68562228,0.159235669,5,0,100,95,25,8.6
AL,burn,3,0.382165605,5.27080014,0.079617834,6.2,0,81,74.8,44,6.6
AL,burn,4,0.50955414,5.88012102,0.079617834,4,0,112,108,13,11.8
HE,burn,5,0.624203822,5.5674432,0.079617834,2.6,0,100,97.4,25,10.4
HE,burn,6,0.407643312,5.12256042,0.71656051,5.2,0,76,70.8,49,15.8
HE,burn,7,0.649681529,6.50945808,0.079617834,2.8,0,81,78.2,44,9.2
HE,burn,8,0.636942675,5.38097094,0.318471338,5.6,0,85,79.4,40,6.4
IN,burn,13,0.114649682,2.15198478,0.079617834,7,0,43,36,82,7
IN,burn,14,0.165605096,6.3806346,0.079617834,6,0,81,75,44,3.4
IN,burn,15,0.038216561,4.14689436,0.159235669,7.6,0,81,73.4,44,4.6
IN,burn,16,0.21656051,4.13489556,0.238853503,8.8,0,84,75.2,41,8.8
MK,burn,17,0.597133758,1.46979846,0.079617834,11.6,0,46,34.4,79,7.2
MK,burn,18,0.736464968,3.08838204,0.079617834,7.2,0,45,37.8,80,8.4
MK,burn,19,1.074840764,2.38901562,0.796178344,10.2,0,28,17.8,97,6.4
MK,burn,20,1.333598726,1.497276257,0.079617834,6.6,0,65,58.4,60,9
SE,burn,9,1.214171975,2.49095088,0.159235669,6,0,58,52,67,7.4
SE,burn,10,0.382165605,2.15329374,0.079617834,6.2,0,48,41.8,77,5
SE,burn,11,0.935509554,2.6781867,0.079617834,3.6,0,84,80.4,41,16.4
SE,burn,12,0.101910828,1.10972538,0.079617834,1.8,0,88,86.2,37,11.4
AL,unburned,1,0.343949045,11.82710808,0.079617834,8.2,0,30,21.8,95,6.6
AL,unburned,2,0.343949045,13.90131882,0.079617834,10.2,0,48,37.8,77,5.2
AL,unburned,3,0.356687898,17.29812456,0.079617834,7.6,0,50,42.4,75,11.4
AL,unburned,4,0.382165605,11.66534244,0.238853503,8.2,0,50,41.8,75,10.6
HE,unburned,5,1.769285209,4.8960558,0.079617834,8.4,0,38,29.6,87,13.2
HE,unburned,6,1.556970984,5.51704824,0.079617834,7.4,0,22,14.6,103,4.8
HE,unburned,7,2.052370842,5.5183572,0.159235669,9,0,31,22,94,4.6
HE,unburned,8,0.743099788,3.95344098,0.079617834,7.4,0,43,35.6,82,3.4
IN,unburned,13,0.229299363,5.94824148,0.079617834,15.6,0,23,7.4,102,3.8
IN,unburned,14,0.420382166,5.51693916,0.079617834,13.4,0,28,14.6,97,3.2
IN,unburned,15,0.114649682,3.27223638,0.079617834,13.6,0,22,8.4,103,4.8
IN,unburned,16,0.114649682,5.1033078,0.079617834,13.6,0,38,24.4,87,2.8
MK,unburned,17,1.015127389,5.99989086,0.079617834,11.6,0,29,17.4,96,6.4
MK,unburned,18,0.331210191,10.78512138,0.079617834,10,0,42,32,83,16.6
MK,unburned,19,0.816082803,8.42599368,0.079617834,10.2,0,42,31.8,83,10.2
MK,unburned,20,1.393312102,6.37321716,0.238853503,11.4,0,35,23.6,90,12.8
SE,unburned,9,2.689313517,3.40869546,0.079617834,10,0,35,25,90,6.4
SE,unburned,10,0.636942675,5.84919684,0.079617834,11.6,0,22,10.4,103,8.6
SE,unburned,11,0.407643312,5.65230744,0.557324841,13,0,38,25,87,6.8
SE,unburned,12,1.238499646,2.95874046,0.159235669,12.8,0,32,19.2,93,3.4
